
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla-population","etla-hierarchy","tlac-population","tlac-hierarchy","ocot-population","ocot-hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.5238095238095237","0.23809523809523808","0.6309523809523809","21","12","3","3","3","6","1.3333333333333333"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.0476190476190474","0.25","0.6428571428571429","21","10","2.1","7","2","4","2"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.5714285714285716","0.23809523809523808","0.6309523809523809","21","12","3","3","3","6","1.5"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.0476190476190474","0.25","0.6428571428571429","21","10","2.1","7","2","4","2"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.65625","0.25","0.65625","32","10","1.7","10","1.4","12","1.8333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.5714285714285716","0.23809523809523808","0.6309523809523809","21","12","2.8333333333333335","3","3","6","1.8333333333333333"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.8","0.25","0.62","25","13","1.9230769230769231","6","1.1666666666666667","6","2.1666666666666665"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.2857142857142856","0.20238095238095238","0.6785714285714286","21","8","2.5","9","2.5555555555555554","4","1.25"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","2.238095238095238","0.25","0.6428571428571429","21","10","2.1","7","2.5714285714285716","4","2"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","10","2.238095238095238","0.25","0.6428571428571429","21","10","2.1","7","2.5714285714285716","4","2"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","2.142857142857143","0.24107142857142858","0.6517857142857143","28","13","2","9","2.111111111111111","6","2.5"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","11","2.238095238095238","0.25","0.6428571428571429","21","10","2.1","7","2.5714285714285716","4","2"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.6666666666666667","0.25","0.6583333333333333","30","15","1.6666666666666667","7","1.4285714285714286","8","1.875"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.0476190476190474","0.2261904761904762","0.7023809523809523","21","12","2.25","6","2","3","1.3333333333333333"
