
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count villages","etla.population","etla.hierarchy","tlac.population","tlac.hierarchy","ocot.population","ocot.hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.9047619047619047","0.2261904761904762","0.5952380952380952","21","10","2","4","1.5","7","2"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.6666666666666667","0.23809523809523808","0.5952380952380952","21","11","1.8181818181818181","3","1.3333333333333333","7","1.5714285714285714"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.619047619047619","0.23809523809523808","0.6309523809523809","21","11","1.7272727272727273","4","1.75","6","1.3333333333333333"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.9047619047619047","0.2261904761904762","0.5952380952380952","21","10","1.7","4","1.5","7","2.4285714285714284"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.5833333333333333","0.21875","0.6041666666666666","24","14","1.6428571428571428","5","1.4","5","1.6"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.7","0.2375","0.6","20","12","2","3","1.3333333333333333","5","1.2"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.9230769230769231","0.25","0.6057692307692307","26","13","2.1538461538461537","4","1.5","9","1.7777777777777777"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.5714285714285714","0.25","0.625","28","16","1.8125","4","1","8","1.375"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.7619047619047619","0.23809523809523808","0.5952380952380952","21","11","1.9090909090909092","3","1.6666666666666667","7","1.5714285714285714"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.9523809523809523","0.23809523809523808","0.6309523809523809","21","11","2.090909090909091","4","1.75","6","1.8333333333333333"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2","0.23809523809523808","0.6309523809523809","21","11","2.1818181818181817","4","1.75","6","1.8333333333333333"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.6388888888888888","0.24305555555555555","0.625","36","21","1.9047619047619047","4","1","11","1.3636363636363635"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.8095238095238095","0.23809523809523808","0.6071428571428571","21","11","1.9090909090909092","3","1.6666666666666667","7","1.7142857142857142"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","1.8095238095238095","0.23809523809523808","0.6071428571428571","21","11","1.9090909090909092","3","1.6666666666666667","7","1.7142857142857142"
